step,tokens_seen,elapsed_seconds,split,loss,learning_rate,gradient_norm,tokens_per_second,peak_gpu_memory_mib
125,4096000,12.662231,train,3.10466242,0.000999985145217,0.35756204,535766.65,13073.10
126,4128768,12.719049,train,3.09754324,0.000999983933074,0.31298223,537233.81,13073.10
127,4161536,12.776382,train,3.02101636,0.000999982673397,0.29916397,538430.65,13073.10
128,4194304,12.833505,train,3.07115436,0.000999981366186,0.28539672,539613.66,13073.10
129,4227072,12.890428,train,3.08494425,0.000999980011442,0.30139196,540781.30,13073.10
130,4259840,12.947410,train,3.06373167,0.000999978609164,0.31306732,541857.83,13073.10
131,4292608,13.004662,train,3.02349663,0.000999977159353,0.36514917,542790.28,13073.10
132,4325376,13.061239,train,3.00245810,0.000999975662009,0.31672966,543858.07,13073.10
133,4358144,13.117694,train,3.05706787,0.000999974117132,0.34790999,544898.60,13073.10
134,4390912,13.174433,train,3.05286455,0.000999972524722,0.33369187,545805.19,13073.10
135,4423680,13.231614,train,2.95530510,0.000999970884779,0.26226819,546547.89,13073.10
136,4456448,13.288960,train,2.99225378,0.000999969197304,0.30882490,547209.27,13073.10
137,4489216,13.345398,train,2.94673347,0.000999967462297,0.31008017,548061.22,13073.10
138,4521984,13.402496,train,2.99677706,0.000999965679757,0.31373486,548711.08,13073.10
139,4554752,13.458970,train,2.94262671,0.000999963849685,0.26837659,549476.48,13073.10
140,4587520,13.515393,train,2.96568155,0.000999961972082,0.31508952,550217.36,13073.10
141,4620288,13.571804,train,2.97912169,0.000999960046947,0.30962381,550926.71,13073.10
142,4653056,13.628583,train,2.91880751,0.000999958074281,0.34374163,551522.60,13073.10
143,4685824,13.685429,train,2.94958043,0.000999956054084,0.33254051,552077.39,13073.10
144,4718592,13.742371,train,2.87693787,0.000999953986355,0.28538427,552587.68,13073.10
145,4751360,13.799237,train,2.89300394,0.000999951871096,0.28365082,553092.10,13073.10
146,4784128,13.855767,train,2.88097382,0.000999949708307,0.32836437,553643.64,13073.10
147,4816896,13.912412,train,2.93049955,0.000999947497987,0.38496542,554149.77,13073.10
148,4849664,13.968387,train,2.89117527,0.000999945240138,0.40388459,554766.97,13073.10
149,4882432,14.024913,train,2.87457108,0.000999942934758,0.35590675,555254.27,13073.10
150,4915200,14.081762,train,2.94088054,0.000999940581849,0.30512169,555662.06,13073.10
151,4947968,14.138431,train,2.87790060,0.000999938181411,0.36286074,556087.63,13073.10
152,4980736,14.195041,train,2.86057830,0.000999935733443,0.34814319,556508.38,13073.10
153,5013504,14.252204,train,2.91441202,0.000999933237947,0.37823093,556814.83,13073.10
154,5046272,14.308499,train,2.86883402,0.000999930694922,0.36030978,557262.79,13073.10
155,5079040,14.364281,train,2.88373709,0.00099992810437,0.33264995,557783.64,13073.10
156,5111808,14.420819,train,2.82981825,0.000999925466289,0.33590505,558158.41,13073.10
157,5144576,14.477635,train,2.86676145,0.00099992278068,0.36589932,558473.97,13073.10
158,5177344,14.534394,train,2.78510642,0.000999920047544,0.31951222,558788.50,13073.10
159,5210112,14.590865,train,2.85184073,0.000999917266881,0.33733347,559139.14,13073.10
160,5242880,14.647656,train,2.83750391,0.000999914438691,0.35836196,559427.70,13073.10
161,5275648,14.704223,train,2.87570667,0.000999911562975,0.33944073,559742.07,13073.10
162,5308416,14.760618,train,2.88131762,0.000999908639732,0.29387921,560073.34,13073.10
163,5341184,14.816984,train,2.78318977,0.000999905668963,0.36100027,560398.73,13073.10
164,5373952,14.873089,train,2.78594971,0.000999902650669,0.30660838,560753.53,13073.10
165,5406720,14.930367,train,2.76013780,0.00099989958485,0.32107884,560924.41,13073.10
166,5439488,14.987074,train,2.78033495,0.000999896471505,0.32954827,561173.47,13073.10
167,5472256,15.044153,train,2.71981096,0.000999893310636,0.30248207,561361.94,13073.10
168,5505024,15.101288,train,2.76788807,0.000999890102243,0.30221480,561536.90,13073.10
169,5537792,15.158105,train,2.80080748,0.000999886846325,0.31096980,561751.39,13073.10
